ID,DESCRIPTION,Attribut1,Additional Feature,Application,Characteristic,Temp,Height,Length in mm,Rating,Material,Size,Code,Joule-integral-Nom (J),LC Risk,Maximum AC Voltage Rating,Maximum DC Voltage Rating,Maximum Power Dissipation,Mounting,Mounting Feature,Number of Terminals,Operating Temperature-Max (Cel),Operating Temperature-Min (Cel),Physical Dimension,Pre-arcing time-Min (ms),Product Diameter,Product Length,Rated Breaking Capacity (A),Rated Current (A),Rated Voltage (V),Rated Voltage(AC) (V),Rated Voltage(DC) (V),combined_text
A134,"Indicator Red Slow Blow Movement 10A 250V Holder Plastic 5 X 20mm Glass T/R CSA/VDE/cULus Electric Indicator, Time Lag Blow, 10A, 250VAC, 10A (IR), L, Surface Mount, 5x20mm",Slow Blow,,Primary Protection on SMD PCB,TIME LAG,,20mm,5.2mm,10A,Glass,5 X 20mm,e4,520J,Low,250V,,4W,Holder,SURFACE MOUNT,2.0,125Cel,-55Cel,5.2mm  x  20mm,20ms,5.2mm,20mm,10A,10A,250V,250V,,indicator red slow blow movement 10a 250v holder plastic 5 x 20mm glass t r csa vde culus electric indicator time lag blow 10a 250vac 10a ir l surface mount 5x20mm primary protection on smd pcb time lag glass 5 x 20mm
A135,"Indicator SubRed Slow Blow Movement 0.1A 250V Radial 8.5 X 8.5mm Thermoplastic Bag CCC/CSA/PSE/UL/VDE/cULus Electric Indicator, Time Lag Blow, 0.1A, 250VAC, 125VDC, 35A (IR), Through Hole",Slow Blow,RATED BREAKING CAPACITY AT 125 VDC: 50 A,Power Supply Adapter for Laptop|Primary Protection on PCB|Switching Mode Power Supply,TIME LAG,,8.5mm,8.5mm,0.1A,Thermoplastic,8.5 X 8.5mm,e3,0.08J,Low,250V,,0.17W,Through Hole,THROUGH HOLE,2.0,125Cel,-55Cel,8.5mm  x  8.5mm,20ms,8.5mm,,35A,0.1A,250V,250V,125V,indicator subred slow blow movement 0 1a 250v radial 8 5 x 8 5mm thermoplastic bag ccc csa pse ul vde culus electric indicator time lag blow 0 1a 250vac 125vdc 35a ir through hole power supply adapter for laptop primary protection on pcb switching mode power supply time lag thermoplastic 8 5 x 8 5mm
A136,"Indicator SubRed Slow Blow Movement 2.5A 250V 8.5 X 8.5mm Thermoplastic CCC/PSE/VDE/cULus Electric Indicator, Time Lag Blow, 2.5A, 250VAC, 100A (IR), Through Hole",Slow Blow,,Primary Protection on PCB|Power Supply Adapter for laptop|Switching Mode Power Supply,TIME LAG,,9mm,8.5mm,2.5A,Thermoplastic,8.5 X 8.5mm,e3,32J,Low,250V,,1W,Through Hole,THROUGH HOLE,2.0,125Cel,-55Cel,8.5mm  x  9mm,20ms,8.5mm,,100A,2.5A,250V,250V,,indicator subred slow blow movement 2 5a 250v 8 5 x 8 5mm thermoplastic ccc pse vde culus electric indicator time lag blow 2 5a 250vac 100a ir through hole primary protection on pcb power supply adapter for laptop switching mode power supply time lag thermoplastic 8 5 x 8 5mm
A137,"Indicator SubRed Slow Blow Movement 6.3A 250V 8.5 X 8.5mm Thermoplastic Box CCC/PSE/VDE/cULus Electric Indicator, Time Lag Blow, 6.3A, 250VAC, 100A (IR), Through Hole",Slow Blow,,Primary Protection on PCB|Power Supply Adapter for laptop|Switching Mode Power Supply,TIME LAG,,9mm,8.5mm,6.3A,Thermoplastic,8.5 X 8.5mm,e3,262J,Low,250V,,,Through Hole,THROUGH HOLE,2.0,125Cel,-55Cel,8.5mm  x  9mm,20ms,8.5mm,,100A,6.3A,250V,250V,,indicator subred slow blow movement 6 3a 250v 8 5 x 8 5mm thermoplastic box ccc pse vde culus electric indicator time lag blow 6 3a 250vac 100a ir through hole primary protection on pcb power supply adapter for laptop switching mode power supply time lag thermoplastic 8 5 x 8 5mm
A140,"Indicator Clip 10A Through Hole Pin Bulk Indicator ACCESSORY, Indicator CLIP",,,,,,,,10A,,,,,Low,,,,Through Hole,,,,,,,,4.1mm,,,,,,indicator clip 10a through hole pin bulk indicator accessory indicator clip 
A141,"Indicator Clip 15A Through Hole Pin Bulk Indicator ACCESSORY, Indicator CLIP",,,,,,,,15A,,,,,Low,,,,Through Hole,,,,,,,,7.87mm,,,,,,indicator clip 15a through hole pin bulk indicator accessory indicator clip 
A142,"Indicator Clip 10A Panel Mount Pin Indicator ACCESSORY, Indicator CLIP",,,,,,,,10A,,,,,Low,,,,Panel Mount,,,,,,,,5mm,,,,,,indicator clip 10a panel mount pin indicator accessory indicator clip 
A143,"Indicator Clip 30A 250VDC/250VAC Through Hole Pin Bulk Indicator ACCESSORY, Indicator CLIP",,,,,,,,30A,,6.3mm X 32mm,,,Low,,,,Through Hole,,,,,,,,7.11mm,,,,,,indicator clip 30a 250vdc 250vac through hole pin bulk indicator accessory indicator clip 6 3mm x 32mm
A145,"Indicator Chip Very Fast Movement 1A SMD Solder Pad 9.73 X 5.03 X 3.81mm T/R CSA/PSE/UL Electric Indicator, Fast Blow, 1A, Surface Mount, NANO",Very Fast,,Motor Circuit,FAST,5.03mm,3.81mm,9.73mm,1A,,9.73 X 5.03 X 3.81mm,e3,,Low,,,125W,Surface Mount,SURFACE MOUNT,2.0,125Cel,-55Cel,9.73mm  x  5.03mm  x  3.81mm,,,9.73mm,,1A,,,,indicator chip very fast movement 1a smd solder pad 9 73 x 5 03 x 3 81mm t r csa pse ul electric indicator fast blow 1a surface mount nano motor circuit fast 9 73 x 5 03 x 3 81mm
A146,"Indicator Chip Slow Blow Movement 1A SMD Solder Pad 9.73 X 5.03 X 3.81mm T/R CSA/PSE/UL Electric Indicator, Time Lag Blow, 1A, Surface Mount, NANO",Slow Blow,,Motor Circuit,TIME LAG,5.03mm,3.81mm,9.73mm,1A,,9.73 X 5.03 X 3.81mm,e3,,Low,,,125W,Surface Mount,SURFACE MOUNT,2.0,125Cel,-55Cel,9.73mm  x  5.03mm  x  3.81mm,,,9.73mm,,1A,,,,indicator chip slow blow movement 1a smd solder pad 9 73 x 5 03 x 3 81mm t r csa pse ul electric indicator time lag blow 1a surface mount nano motor circuit time lag 9 73 x 5 03 x 3 81mm
A147,"Indicator Chip Slow Blow Movement 2A SMD Solder Pad 9.73 X 5.03 X 3.81mm T/R CSA/PSE/UL Electric Indicator, Time Lag Blow, 2A, Surface Mount, NANO",Slow Blow,,Motor Circuit,TIME LAG,5.03mm,3.81mm,9.73mm,2A,,9.73 X 5.03 X 3.81mm,e3,,Low,,,125W,Surface Mount,SURFACE MOUNT,2.0,125Cel,-55Cel,9.73mm  x  5.03mm  x  3.81mm,,,9.73mm,,2A,,,,indicator chip slow blow movement 2a smd solder pad 9 73 x 5 03 x 3 81mm t r csa pse ul electric indicator time lag blow 2a surface mount nano motor circuit time lag 9 73 x 5 03 x 3 81mm
A148,"Indicator Chip Slow Blow Movement 3A SMD Solder Pad 9.73 X 5.03 X 3.81mm T/R CSA/PSE/UL Electric Indicator, Time Lag Blow, 3A, Surface Mount, NANO",Slow Blow,,Motor Circuit,TIME LAG,5.03mm,3.81mm,9.73mm,3A,,9.73 X 5.03 X 3.81mm,e3,,Low,,,125W,Surface Mount,SURFACE MOUNT,2.0,125Cel,-55Cel,9.73mm  x  5.03mm  x  3.81mm,,,9.73mm,,3A,,,,indicator chip slow blow movement 3a smd solder pad 9 73 x 5 03 x 3 81mm t r csa pse ul electric indicator time lag blow 3a surface mount nano motor circuit time lag 9 73 x 5 03 x 3 81mm
A149,"Indicator Chip Slow Blow Movement 4A SMD Solder Pad 9.73 X 5.03 X 3.81mm T/R CSA/PSE/UL Electric Indicator, Time Lag Blow, 4A, Surface Mount, NANO",Slow Blow,,Motor Circuit,TIME LAG,5.03mm,3.81mm,9.73mm,4A,,9.73 X 5.03 X 3.81mm,e3,,Low,,,125W,Surface Mount,SURFACE MOUNT,2.0,125Cel,-55Cel,9.73mm  x  5.03mm  x  3.81mm,,,9.73mm,,4A,,,,indicator chip slow blow movement 4a smd solder pad 9 73 x 5 03 x 3 81mm t r csa pse ul electric indicator time lag blow 4a surface mount nano motor circuit time lag 9 73 x 5 03 x 3 81mm
A150,"Indicator Chip Very Fast Movement 5A SMD Solder Pad 9.73 X 5.03 X 3.81mm T/R CSA/PSE/UL Electric Indicator, Fast Blow, 5A, Surface Mount, NANO",Very Fast,,Motor Circuit,FAST,5.03mm,3.81mm,9.73mm,5A,,9.73 X 5.03 X 3.81mm,e3,,Low,,,125W,Surface Mount,SURFACE MOUNT,2.0,125Cel,-55Cel,9.73mm  x  5.03mm  x  3.81mm,,,9.73mm,,5A,125V,,,indicator chip very fast movement 5a smd solder pad 9 73 x 5 03 x 3 81mm t r csa pse ul electric indicator fast blow 5a surface mount nano motor circuit fast 9 73 x 5 03 x 3 81mm
A151,"Indicator Chip Slow Blow Movement 5A SMD Solder Pad 9.73 X 5.03 X 3.81mm T/R CSA/PSE/UL Electric Indicator, Time Lag Blow, 5A, Surface Mount, NANO",Slow Blow,,Motor Circuit,TIME LAG,5.03mm,3.81mm,9.73mm,5A,,9.73 X 5.03 X 3.81mm,e3,,Low,,,125W,Surface Mount,SURFACE MOUNT,2.0,125Cel,-55Cel,9.73mm  x  5.03mm  x  3.81mm,,,9.73mm,,5A,,,,indicator chip slow blow movement 5a smd solder pad 9 73 x 5 03 x 3 81mm t r csa pse ul electric indicator time lag blow 5a surface mount nano motor circuit time lag 9 73 x 5 03 x 3 81mm
A152,"Indicator Chip Very Fast Movement 7A SMD Solder Pad 9.73 X 5.03 X 3.81mm T/R CSA/PSE/UL Electric Indicator, Fast Blow, 7A, Surface Mount, NANO",Very Fast,,Motor Circuit,FAST,5.03mm,3.81mm,9.73mm,7A,,9.73 X 5.03 X 3.81mm,e3,,Low,,,125W,Surface Mount,SURFACE MOUNT,2.0,125Cel,-55Cel,9.73mm  x  5.03mm  x  3.81mm,,,9.73mm,,7A,,,,indicator chip very fast movement 7a smd solder pad 9 73 x 5 03 x 3 81mm t r csa pse ul electric indicator fast blow 7a surface mount nano motor circuit fast 9 73 x 5 03 x 3 81mm
A153,"Indicator Chip Very Fast Movement 8A SMD Solder Pad 9.73 X 5.03 X 3.81mm T/R CSA/PSE/UL Electric Indicator, Fast Blow, 8A, Surface Mount",Very Fast,,Motor Circuit,FAST,5.03mm,3.81mm,9.73mm,8A,,9.73 X 5.03 X 3.81mm,e4,,Low,,,125W,Surface Mount,SURFACE MOUNT,2.0,125Cel,-55Cel,9.73mm  x  5.03mm  x  3.81mm,,,9.73mm,,8A,,,,indicator chip very fast movement 8a smd solder pad 9 73 x 5 03 x 3 81mm t r csa pse ul electric indicator fast blow 8a surface mount motor circuit fast 9 73 x 5 03 x 3 81mm
A154,"Indicator Chip Very Fast Movement 0.5A SMD Solder Pad 9.73 X 5.03 X 3.81mm T/R CSA/PSE/UL Electric Indicator, Fast Blow, 0.5A, Surface Mount, NANO",Very Fast,,Motor Circuit,FAST,5.03mm,3.81mm,9.73mm,0.5A,,9.73 X 5.03 X 3.81mm,e3,,Low,,,125W,Surface Mount,SURFACE MOUNT,2.0,125Cel,-55Cel,9.73mm  x  5.03mm  x  3.81mm,,,9.73mm,,0.5A,,,,indicator chip very fast movement 0 5a smd solder pad 9 73 x 5 03 x 3 81mm t r csa pse ul electric indicator fast blow 0 5a surface mount nano motor circuit fast 9 73 x 5 03 x 3 81mm
A156,"Indicator Chip Very Fast Movement 0.75A SMD Solder Pad 9.73 X 5.03 X 3.81mm T/R CSA/PSE/UL Electric Indicator, Fast Blow, 0.75A, Surface Mount, NANO",Very Fast,,Motor Circuit,FAST,5.03mm,3.81mm,9.73mm,0.75A,,9.73 X 5.03 X 3.81mm,e4,,Low,,,125W,Surface Mount,SURFACE MOUNT,2.0,125Cel,-55Cel,9.73mm  x  5.03mm  x  3.81mm,,,9.73mm,,0.75A,125V,,,indicator chip very fast movement 0 75a smd solder pad 9 73 x 5 03 x 3 81mm t r csa pse ul electric indicator fast blow 0 75a surface mount nano motor circuit fast 9 73 x 5 03 x 3 81mm
A157,"Indicator SubRed Slow Blow Movement 1A 250V Radial DIP 10.16 X 6.35 X 4.19mm Thermoplastic Bulk CSA/UL Electric Indicator, Fast Blow, 1A, 250VAC, 50A (IR), Through Hole",Slow Blow,,Motor Circuit,FAST,6.35mm,4.19mm,9.45mm,1A,Thermoplastic,10.16 X 6.35 X 4.19mm,e0,0.192J,Low,250V,,,Through Hole,THROUGH HOLE,2.0,125Cel,-55Cel,9.45mm  x  6.35mm  x  4.19mm,,,9.45mm,50A,1A,250V,250V,,indicator subred slow blow movement 1a 250v radial dip 10 16 x 6 35 x 4 19mm thermoplastic bulk csa ul electric indicator fast blow 1a 250vac 50a ir through hole motor circuit fast thermoplastic 10 16 x 6 35 x 4 19mm
A158,"Indicator SubRed Slow Blow Movement 1A 250V SMD Gull Wing 10.16 X 6.35 X 4.19mm Thermoplastic Bulk CSA/UL Electric Indicator, Fast Blow, 1A, 250VAC, 50A (IR), Surface Mount",Slow Blow,,Motor Circuit,FAST,6.35mm,4.19mm,9.45mm,1A,Thermoplastic,10.16 X 6.35 X 4.19mm,e0,0.192J,Low,250V,,,Surface Mount,SURFACE MOUNT,2.0,125Cel,-55Cel,9.45mm  x  6.35mm  x  4.19mm,,,9.45mm,50A,1A,250V,250V,,indicator subred slow blow movement 1a 250v smd gull wing 10 16 x 6 35 x 4 19mm thermoplastic bulk csa ul electric indicator fast blow 1a 250vac 50a ir surface mount motor circuit fast thermoplastic 10 16 x 6 35 x 4 19mm
A159,"Indicator SubRed Slow Blow Movement 1A 250V SMD Gull Wing 10.16 X 6.35 X 4.19mm Thermoplastic T/R CSA/UL Electric Indicator, Fast Blow, 1A, 250VAC, 50A (IR), Surface Mount",Slow Blow,,Motor Circuit,FAST,6.35mm,4.19mm,9.45mm,1A,Thermoplastic,10.16 X 6.35 X 4.19mm,e0,0.192J,Low,250V,,,Surface Mount,SURFACE MOUNT,2.0,125Cel,-55Cel,9.45mm  x  6.35mm  x  4.19mm,,,9.45mm,50A,1A,250V,250V,,indicator subred slow blow movement 1a 250v smd gull wing 10 16 x 6 35 x 4 19mm thermoplastic t r csa ul electric indicator fast blow 1a 250vac 50a ir surface mount motor circuit fast thermoplastic 10 16 x 6 35 x 4 19mm
A160,"Indicator SubRed Slow Blow Movement 2A 250V Radial DIP 10.16 X 6.35 X 4.19mm Thermoplastic Bulk CSA/UL Electric Indicator, Fast Blow, 2A, 250VAC, 50A (IR), Through Hole",Slow Blow,,Motor Circuit,FAST,6.35mm,4.19mm,9.45mm,2A,Thermoplastic,10.16 X 6.35 X 4.19mm,e0,1.07J,Low,250V,,,Through Hole,THROUGH HOLE,2.0,125Cel,-55Cel,9.45mm  x  6.35mm  x  4.19mm,,,9.45mm,50A,2A,250V,250V,,indicator subred slow blow movement 2a 250v radial dip 10 16 x 6 35 x 4 19mm thermoplastic bulk csa ul electric indicator fast blow 2a 250vac 50a ir through hole motor circuit fast thermoplastic 10 16 x 6 35 x 4 19mm
A161,"Indicator SubRed Slow Blow Movement 2A 250V SMD Gull Wing 10.16 X 6.35 X 4.19mm Thermoplastic Bulk CSA/UL Electric Indicator, Fast Blow, 2A, 250VAC, 50A (IR), Surface Mount",Slow Blow,,Motor Circuit,FAST,6.35mm,4.19mm,9.45mm,2A,Thermoplastic,10.16 X 6.35 X 4.19mm,e0,1.07J,Low,250V,,,Surface Mount,SURFACE MOUNT,2.0,125Cel,-55Cel,9.45mm  x  6.35mm  x  4.19mm,,,9.45mm,50A,2A,250V,250V,,indicator subred slow blow movement 2a 250v smd gull wing 10 16 x 6 35 x 4 19mm thermoplastic bulk csa ul electric indicator fast blow 2a 250vac 50a ir surface mount motor circuit fast thermoplastic 10 16 x 6 35 x 4 19mm
A162,"Indicator SubRed Slow Blow Movement 2A 250V SMD Gull Wing 10.16 X 6.35 X 4.19mm Thermoplastic T/R CSA/UL Electric Indicator, Fast Blow, 2A, 250VAC, 50A (IR), Surface Mount",Slow Blow,,Motor Circuit,FAST,6.35mm,4.19mm,9.45mm,2A,Thermoplastic,10.16 X 6.35 X 4.19mm,e0,1.07J,Low,250V,,,Surface Mount,SURFACE MOUNT,2.0,125Cel,-55Cel,9.45mm  x  6.35mm  x  4.19mm,,,9.45mm,50A,2A,250V,250V,,indicator subred slow blow movement 2a 250v smd gull wing 10 16 x 6 35 x 4 19mm thermoplastic t r csa ul electric indicator fast blow 2a 250vac 50a ir surface mount motor circuit fast thermoplastic 10 16 x 6 35 x 4 19mm
A163,"Indicator SubRed Slow Blow Movement 3A 250V Radial DIP 10.16 X 6.35 X 4.19mm Thermoplastic Bulk CSA Electric Indicator, Fast Blow, 3A, 250VAC, 50A (IR), Through Hole",Slow Blow,,Motor Circuit,FAST,6.35mm,4.19mm,9.45mm,3A,Thermoplastic,10.16 X 6.35 X 4.19mm,e0,1.71J,Low,250V,,,Through Hole,THROUGH HOLE,2.0,125Cel,-55Cel,9.45mm  x  6.35mm  x  4.19mm,,,9.45mm,50A,3A,250V,250V,,indicator subred slow blow movement 3a 250v radial dip 10 16 x 6 35 x 4 19mm thermoplastic bulk csa electric indicator fast blow 3a 250vac 50a ir through hole motor circuit fast thermoplastic 10 16 x 6 35 x 4 19mm
A164,"Indicator SubRed Slow Blow Movement 3A 250V SMD Gull Wing 10.16 X 6.35 X 4.19mm Thermoplastic Bulk CSA Electric Indicator, Fast Blow, 3A, 250VAC, 50A (IR), Surface Mount",Slow Blow,,Motor Circuit,FAST,6.35mm,4.19mm,9.45mm,3A,Thermoplastic,10.16 X 6.35 X 4.19mm,e0,1.71J,Low,250V,,,Surface Mount,SURFACE MOUNT,2.0,125Cel,-55Cel,9.45mm  x  6.35mm  x  4.19mm,,,9.45mm,50A,3A,250V,250V,,indicator subred slow blow movement 3a 250v smd gull wing 10 16 x 6 35 x 4 19mm thermoplastic bulk csa electric indicator fast blow 3a 250vac 50a ir surface mount motor circuit fast thermoplastic 10 16 x 6 35 x 4 19mm
A165,"Indicator SubRed Slow Blow Movement 3A 250V SMD Gull Wing 10.16 X 6.35 X 4.19mm Thermoplastic T/R CSA Electric Indicator, Fast Blow, 3A, 250VAC, 50A (IR), Surface Mount",Slow Blow,,Motor Circuit,FAST,6.35mm,4.19mm,9.45mm,3A,Thermoplastic,10.16 X 6.35 X 4.19mm,e0,1.71J,Low,250V,,,Surface Mount,SURFACE MOUNT,2.0,125Cel,-55Cel,9.45mm  x  6.35mm  x  4.19mm,,,9.45mm,50A,3A,250V,250V,,indicator subred slow blow movement 3a 250v smd gull wing 10 16 x 6 35 x 4 19mm thermoplastic t r csa electric indicator fast blow 3a 250vac 50a ir surface mount motor circuit fast thermoplastic 10 16 x 6 35 x 4 19mm
A166,"Indicator SubRed Slow Blow Movement 4A 250V Radial DIP 10.16 X 6.35 X 4.19mm Thermoplastic Bulk CSA/UL Electric Indicator, Fast Blow, 4A, 250VAC, 50A (IR), Through Hole",Slow Blow,,Motor Circuit,FAST,6.35mm,4.19mm,9.45mm,4A,Thermoplastic,10.16 X 6.35 X 4.19mm,e0,3J,Low,250V,,,Through Hole,THROUGH HOLE,2.0,125Cel,-55Cel,9.45mm  x  6.35mm  x  4.19mm,,,9.45mm,50A,4A,250V,250V,,indicator subred slow blow movement 4a 250v radial dip 10 16 x 6 35 x 4 19mm thermoplastic bulk csa ul electric indicator fast blow 4a 250vac 50a ir through hole motor circuit fast thermoplastic 10 16 x 6 35 x 4 19mm
A167,"Indicator SubRed Slow Blow Movement 4A 250V SMD Gull Wing 10.16 X 6.35 X 4.19mm Thermoplastic Bulk CSA/UL Electric Indicator, Fast Blow, 4A, 250VAC, 50A (IR), Surface Mount",Slow Blow,,Motor Circuit,FAST,6.35mm,4.19mm,9.45mm,4A,Thermoplastic,10.16 X 6.35 X 4.19mm,e0,3J,Low,250V,,,Surface Mount,SURFACE MOUNT,2.0,125Cel,-55Cel,9.45mm  x  6.35mm  x  4.19mm,,,9.45mm,50A,4A,250V,250V,,indicator subred slow blow movement 4a 250v smd gull wing 10 16 x 6 35 x 4 19mm thermoplastic bulk csa ul electric indicator fast blow 4a 250vac 50a ir surface mount motor circuit fast thermoplastic 10 16 x 6 35 x 4 19mm
A168,"Indicator SubRed Slow Blow Movement 4A 250V SMD Gull Wing 10.16 X 6.35 X 4.19mm Thermoplastic T/R CSA/UL Electric Indicator, Fast Blow, 4A, 250VAC, 50A (IR), Surface Mount",Slow Blow,,Motor Circuit,FAST,6.35mm,4.19mm,9.45mm,4A,Thermoplastic,10.16 X 6.35 X 4.19mm,e0,3J,Low,250V,,,Surface Mount,SURFACE MOUNT,2.0,125Cel,-55Cel,9.45mm  x  6.35mm  x  4.19mm,,,9.45mm,50A,4A,250V,250V,,indicator subred slow blow movement 4a 250v smd gull wing 10 16 x 6 35 x 4 19mm thermoplastic t r csa ul electric indicator fast blow 4a 250vac 50a ir surface mount motor circuit fast thermoplastic 10 16 x 6 35 x 4 19mm
A169,"Indicator SubRed Slow Blow Movement 5A 250V Radial DIP 10.16 X 6.35 X 4.19mm Thermoplastic Bulk CSA/UL Electric Indicator, Fast Blow, 5A, 250VAC, 50A (IR), Through Hole",Slow Blow,,Motor Circuit,FAST,6.35mm,4.19mm,9.45mm,5A,Thermoplastic,10.16 X 6.35 X 4.19mm,e0,4.68J,Low,250V,,,Through Hole,THROUGH HOLE,2.0,125Cel,-55Cel,9.45mm  x  6.35mm  x  4.19mm,,,9.45mm,50A,5A,250V,250V,,indicator subred slow blow movement 5a 250v radial dip 10 16 x 6 35 x 4 19mm thermoplastic bulk csa ul electric indicator fast blow 5a 250vac 50a ir through hole motor circuit fast thermoplastic 10 16 x 6 35 x 4 19mm
A170,"Indicator SubRed Slow Blow Movement 5A 250V SMD Gull Wing 10.16 X 6.35 X 4.19mm Thermoplastic Bulk CSA/UL Electric Indicator, Fast Blow, 5A, 250VAC, 50A (IR), Surface Mount",Slow Blow,,Motor Circuit,FAST,6.35mm,4.19mm,9.45mm,5A,Thermoplastic,10.16 X 6.35 X 4.19mm,e0,4.68J,Low,250V,,,Surface Mount,SURFACE MOUNT,2.0,125Cel,-55Cel,9.45mm  x  6.35mm  x  4.19mm,,,9.45mm,50A,5A,250V,250V,,indicator subred slow blow movement 5a 250v smd gull wing 10 16 x 6 35 x 4 19mm thermoplastic bulk csa ul electric indicator fast blow 5a 250vac 50a ir surface mount motor circuit fast thermoplastic 10 16 x 6 35 x 4 19mm
A171,"Indicator SubRed Slow Blow Movement 5A 250V SMD Gull Wing 10.16 X 6.35 X 4.19mm Thermoplastic T/R CSA/UL Electric Indicator, Fast Blow, 5A, 250VAC, 50A (IR), Surface Mount",Slow Blow,,Motor Circuit,FAST,6.35mm,4.19mm,9.45mm,5A,Thermoplastic,10.16 X 6.35 X 4.19mm,e0,4.68J,Low,250V,,,Surface Mount,SURFACE MOUNT,2.0,125Cel,-55Cel,9.45mm  x  6.35mm  x  4.19mm,,,9.45mm,50A,5A,250V,250V,,indicator subred slow blow movement 5a 250v smd gull wing 10 16 x 6 35 x 4 19mm thermoplastic t r csa ul electric indicator fast blow 5a 250vac 50a ir surface mount motor circuit fast thermoplastic 10 16 x 6 35 x 4 19mm
A172,"Indicator SubRed Slow Blow Movement 1.5A 250V Radial DIP 10.16 X 6.35 X 4.19mm Thermoplastic Bulk CSA/UL Electric Indicator, Fast Blow, 1.5A, 250VAC, 50A (IR), Through Hole",Slow Blow,,Motor Circuit,FAST,6.35mm,4.19mm,9.45mm,1.5A,Thermoplastic,10.16 X 6.35 X 4.19mm,e0,0.54J,Low,250V,,,Through Hole,THROUGH HOLE,2.0,125Cel,-55Cel,9.45mm  x  6.35mm  x  4.19mm,,,9.45mm,50A,1.5A,250V,250V,,indicator subred slow blow movement 1 5a 250v radial dip 10 16 x 6 35 x 4 19mm thermoplastic bulk csa ul electric indicator fast blow 1 5a 250vac 50a ir through hole motor circuit fast thermoplastic 10 16 x 6 35 x 4 19mm
A173,"Indicator SubRed Slow Blow Movement 1.5A 250V SMD Gull Wing 10.16 X 6.35 X 4.19mm Thermoplastic Bulk CSA/UL Electric Indicator, Fast Blow, 1.5A, 250VAC, 50A (IR), Surface Mount",Slow Blow,,Motor Circuit,FAST,6.35mm,4.19mm,9.45mm,1.5A,Thermoplastic,10.16 X 6.35 X 4.19mm,e0,0.54J,Low,250V,,,Surface Mount,SURFACE MOUNT,2.0,125Cel,-55Cel,9.45mm  x  6.35mm  x  4.19mm,,,9.45mm,50A,1.5A,250V,250V,,indicator subred slow blow movement 1 5a 250v smd gull wing 10 16 x 6 35 x 4 19mm thermoplastic bulk csa ul electric indicator fast blow 1 5a 250vac 50a ir surface mount motor circuit fast thermoplastic 10 16 x 6 35 x 4 19mm
A174,"Indicator SubRed Slow Blow Movement 1.5A 250V SMD Gull Wing 10.16 X 6.35 X 4.19mm Thermoplastic T/R CSA/UL Electric Indicator, Fast Blow, 1.5A, 250VAC, 50A (IR), Surface Mount",Slow Blow,,Motor Circuit,FAST,6.35mm,4.19mm,9.45mm,1.5A,Thermoplastic,10.16 X 6.35 X 4.19mm,e0,0.54J,Low,250V,,,Surface Mount,SURFACE MOUNT,2.0,125Cel,-55Cel,9.45mm  x  6.35mm  x  4.19mm,,,9.45mm,50A,1.5A,250V,250V,,indicator subred slow blow movement 1 5a 250v smd gull wing 10 16 x 6 35 x 4 19mm thermoplastic t r csa ul electric indicator fast blow 1 5a 250vac 50a ir surface mount motor circuit fast thermoplastic 10 16 x 6 35 x 4 19mm
A175,"Indicator SubRed Slow Blow Movement 2.5A 250V Radial DIP 10.16 X 6.35 X 4.19mm Thermoplastic Bulk CSA/UL Electric Indicator, Fast Blow, 2.5A, 250VAC, 50A (IR), Through Hole",Slow Blow,,Motor Circuit,FAST,6.35mm,4.19mm,9.45mm,2.5A,Thermoplastic,10.16 X 6.35 X 4.19mm,e0,1.76J,Low,250V,,,Through Hole,THROUGH HOLE,2.0,125Cel,-55Cel,9.45mm  x  6.35mm  x  4.19mm,,,9.45mm,50A,2.5A,,250V,,indicator subred slow blow movement 2 5a 250v radial dip 10 16 x 6 35 x 4 19mm thermoplastic bulk csa ul electric indicator fast blow 2 5a 250vac 50a ir through hole motor circuit fast thermoplastic 10 16 x 6 35 x 4 19mm
A176,"Indicator SubRed Slow Blow Movement 2.5A 250V SMD Gull Wing 10.16 X 6.35 X 4.19mm Thermoplastic Bulk CSA/UL Electric Indicator, Fast Blow, 2.5A, 250VAC, 50A (IR), Surface Mount",Slow Blow,,Motor Circuit,FAST,6.35mm,4.19mm,9.45mm,2.5A,Thermoplastic,10.16 X 6.35 X 4.19mm,e0,1.76J,Low,250V,,,Surface Mount,SURFACE MOUNT,2.0,125Cel,-55Cel,9.45mm  x  6.35mm  x  4.19mm,,,9.45mm,50A,2.5A,,250V,,indicator subred slow blow movement 2 5a 250v smd gull wing 10 16 x 6 35 x 4 19mm thermoplastic bulk csa ul electric indicator fast blow 2 5a 250vac 50a ir surface mount motor circuit fast thermoplastic 10 16 x 6 35 x 4 19mm
A177,"Indicator SubRed Slow Blow Movement 2.5A 250V SMD Gull Wing 10.16 X 6.35 X 4.19mm Thermoplastic T/R CSA/UL Electric Indicator, Fast Blow, 2.5A, 250VAC, 50A (IR), Surface Mount",Slow Blow,,Motor Circuit,FAST,6.35mm,4.19mm,9.45mm,2.5A,Thermoplastic,10.16 X 6.35 X 4.19mm,e0,1.76J,Low,250V,,,Surface Mount,SURFACE MOUNT,2.0,125Cel,-55Cel,9.45mm  x  6.35mm  x  4.19mm,,,9.45mm,50A,2.5A,,250V,,indicator subred slow blow movement 2 5a 250v smd gull wing 10 16 x 6 35 x 4 19mm thermoplastic t r csa ul electric indicator fast blow 2 5a 250vac 50a ir surface mount motor circuit fast thermoplastic 10 16 x 6 35 x 4 19mm
